ID,RSSI,station,distance
Haylou GT1 XR,-40,1,0.5
Haylou GT1 XR,-38,1,0.5
Haylou GT1 XR,-39,1,0.5
Haylou GT1 XR,-40,1,0.5
Haylou GT1 XR,-39,1,0.5
Haylou GT1 XR,-38,1,0.5
Haylou GT1 XR,-39,1,0.5
Haylou GT1 XR,-43,1,0.5
Haylou GT1 XR,-39,1,0.5
Haylou GT1 XR,-39,1,0.5
Haylou GT1 XR,-40,1,0.5
Haylou GT1 XR,-40,1,0.5
Haylou GT1 XR,-43,1,0.5
Haylou GT1 XR,-43,1,0.5
Haylou GT1 XR,-39,1,0.5
Haylou GT1 XR,-43,1,0.5
Haylou GT1 XR,-44,1,0.5
Haylou GT1 XR,-39,1,0.5
Haylou GT1 XR,-40,1,0.5
Haylou GT1 XR,-39,1,0.5
Haylou GT1 XR,-38,1,0.5
Haylou GT1 XR,-40,1,0.5
Haylou GT1 XR,-39,1,0.5
Haylou GT1 XR,-39,1,0.5
Haylou GT1 XR,-43,1,0.5
Haylou GT1 XR,-43,1,0.5
Haylou GT1 XR,-39,1,0.5
Haylou GT1 XR,-41,1,0.5
Haylou GT1 XR,-39,1,0.5
Haylou GT1 XR,-40,1,0.5
Haylou GT1 XR,-44,1,0.5
Haylou GT1 XR,-39,1,0.5
Haylou GT1 XR,-43,1,0.5
Haylou GT1 XR,-44,1,0.5
Haylou GT1 XR,-39,1,0.5
Haylou GT1 XR,-43,1,0.5
Haylou GT1 XR,-41,1,0.5
Haylou GT1 XR,-39,1,0.5
Haylou GT1 XR,-43,1,0.5
Haylou GT1 XR,-43,1,0.5
Haylou GT1 XR,-39,1,0.5
Haylou GT1 XR,-38,1,0.5
Haylou GT1 XR,-40,1,0.5
Haylou GT1 XR,-39,1,0.5
Haylou GT1 XR,-39,1,0.5
Haylou GT1 XR,-39,1,0.5
Haylou GT1 XR,-44,1,0.5
Haylou GT1 XR,-40,1,0.5
Haylou GT1 XR,-40,1,0.5
Haylou GT1 XR,-40,1,0.5
Haylou GT1 XR,-40,1,0.5
Haylou GT1 XR,-57,1,1
Haylou GT1 XR,-47,1,1
Haylou GT1 XR,-45,1,1
Haylou GT1 XR,-45,1,1
Haylou GT1 XR,-49,1,1
Haylou GT1 XR,-49,1,1
Haylou GT1 XR,-50,1,1
Haylou GT1 XR,-55,1,1
Haylou GT1 XR,-46,1,1
Haylou GT1 XR,-50,1,1
Haylou GT1 XR,-55,1,1
Haylou GT1 XR,-45,1,1
Haylou GT1 XR,-51,1,1
Haylou GT1 XR,-55,1,1
Haylou GT1 XR,-45,1,1
Haylou GT1 XR,-45,1,1
Haylou GT1 XR,-50,1,1
Haylou GT1 XR,-53,1,1
Haylou GT1 XR,-54,1,1
Haylou GT1 XR,-54,1,1
Haylou GT1 XR,-44,1,1
Haylou GT1 XR,-47,1,1
Haylou GT1 XR,-49,1,1
Haylou GT1 XR,-49,1,1
Haylou GT1 XR,-48,1,1
Haylou GT1 XR,-49,1,1
Haylou GT1 XR,-49,1,1
Haylou GT1 XR,-50,1,1
Haylou GT1 XR,-51,1,1
Haylou GT1 XR,-51,1,1
Haylou GT1 XR,-43,1,1
Haylou GT1 XR,-61,1,1
Haylou GT1 XR,-49,1,1
Haylou GT1 XR,-49,1,1
Haylou GT1 XR,-44,1,1
Haylou GT1 XR,-61,1,1
Haylou GT1 XR,-44,1,1
Haylou GT1 XR,-59,1,1
Haylou GT1 XR,-60,1,1
Haylou GT1 XR,-44,1,1
Haylou GT1 XR,-49,1,1
Haylou GT1 XR,-49,1,1
Haylou GT1 XR,-44,1,1
Haylou GT1 XR,-49,1,1
Haylou GT1 XR,-59,1,1
Haylou GT1 XR,-58,1,1
Haylou GT1 XR,-44,1,1
Haylou GT1 XR,-50,1,1
Haylou GT1 XR,-58,1,1
Haylou GT1 XR,-44,1,1
Haylou GT1 XR,-45,1,1
Haylou GT1 XR,-45,1,1.5
Haylou GT1 XR,-52,1,1.5
Haylou GT1 XR,-52,1,1.5
Haylou GT1 XR,-54,1,1.5
Haylou GT1 XR,-53,1,1.5
Haylou GT1 XR,-54,1,1.5
Haylou GT1 XR,-53,1,1.5
Haylou GT1 XR,-52,1,1.5
Haylou GT1 XR,-53,1,1.5
Haylou GT1 XR,-54,1,1.5
Haylou GT1 XR,-54,1,1.5
Haylou GT1 XR,-54,1,1.5
Haylou GT1 XR,-53,1,1.5
Haylou GT1 XR,-48,1,1.5
Haylou GT1 XR,-53,1,1.5
Haylou GT1 XR,-55,1,1.5
Haylou GT1 XR,-48,1,1.5
Haylou GT1 XR,-54,1,1.5
Haylou GT1 XR,-55,1,1.5
Haylou GT1 XR,-49,1,1.5
Haylou GT1 XR,-54,1,1.5
Haylou GT1 XR,-54,1,1.5
Haylou GT1 XR,-55,1,1.5
Haylou GT1 XR,-56,1,1.5
Haylou GT1 XR,-57,1,1.5
Haylou GT1 XR,-51,1,1.5
Haylou GT1 XR,-54,1,1.5
Haylou GT1 XR,-47,1,1.5
Haylou GT1 XR,-53,1,1.5
Haylou GT1 XR,-52,1,1.5
Haylou GT1 XR,-52,1,1.5
Haylou GT1 XR,-56,1,1.5
Haylou GT1 XR,-58,1,1.5
Haylou GT1 XR,-57,1,1.5
Haylou GT1 XR,-47,1,1.5
Haylou GT1 XR,-57,1,1.5
Haylou GT1 XR,-47,1,1.5
Haylou GT1 XR,-56,1,1.5
Haylou GT1 XR,-47,1,1.5
Haylou GT1 XR,-56,1,1.5
Haylou GT1 XR,-56,1,1.5
Haylou GT1 XR,-53,1,1.5
Haylou GT1 XR,-54,1,1.5
Haylou GT1 XR,-49,1,1.5
Haylou GT1 XR,-49,1,1.5
Haylou GT1 XR,-53,1,1.5
Haylou GT1 XR,-54,1,1.5
Haylou GT1 XR,-52,1,1.5
Haylou GT1 XR,-57,1,1.5
Haylou GT1 XR,-57,1,1.5
Haylou GT1 XR,-57,1,1.5
Haylou GT1 XR,-52,1,2
Haylou GT1 XR,-58,1,2
Haylou GT1 XR,-55,1,2
Haylou GT1 XR,-50,1,2
Haylou GT1 XR,-50,1,2
Haylou GT1 XR,-68,1,2
Haylou GT1 XR,-56,1,2
Haylou GT1 XR,-56,1,2
Haylou GT1 XR,-59,1,2
Haylou GT1 XR,-60,1,2
Haylou GT1 XR,-51,1,2
Haylou GT1 XR,-50,1,2
Haylou GT1 XR,-58,1,2
Haylou GT1 XR,-49,1,2
Haylou GT1 XR,-49,1,2
Haylou GT1 XR,-60,1,2
Haylou GT1 XR,-49,1,2
Haylou GT1 XR,-54,1,2
Haylou GT1 XR,-57,1,2
Haylou GT1 XR,-57,1,2
Haylou GT1 XR,-52,1,2
Haylou GT1 XR,-62,1,2
Haylou GT1 XR,-51,1,2
Haylou GT1 XR,-57,1,2
Haylou GT1 XR,-57,1,2
Haylou GT1 XR,-50,1,2
Haylou GT1 XR,-50,1,2
Haylou GT1 XR,-50,1,2
Haylou GT1 XR,-50,1,2
Haylou GT1 XR,-63,1,2
Haylou GT1 XR,-57,1,2
Haylou GT1 XR,-56,1,2
Haylou GT1 XR,-56,1,2
Haylou GT1 XR,-50,1,2
Haylou GT1 XR,-50,1,2
Haylou GT1 XR,-50,1,2
Haylou GT1 XR,-56,1,2
Haylou GT1 XR,-50,1,2
Haylou GT1 XR,-50,1,2
Haylou GT1 XR,-50,1,2
Haylou GT1 XR,-50,1,2
Haylou GT1 XR,-50,1,2
Haylou GT1 XR,-56,1,2
Haylou GT1 XR,-50,1,2
Haylou GT1 XR,-56,1,2
Haylou GT1 XR,-51,1,2
Haylou GT1 XR,-50,1,2
Haylou GT1 XR,-51,1,2
Haylou GT1 XR,-58,1,2
Haylou GT1 XR,-57,1,2
Haylou GT1 XR,-52,1,2
Haylou GT1 XR,-71,1,2.5
Haylou GT1 XR,-53,1,2.5
Haylou GT1 XR,-50,1,2.5
Haylou GT1 XR,-76,1,2.5
Haylou GT1 XR,-66,1,2.5
Haylou GT1 XR,-51,1,2.5
Haylou GT1 XR,-50,1,2.5
Haylou GT1 XR,-50,1,2.5
Haylou GT1 XR,-49,1,2.5
Haylou GT1 XR,-50,1,2.5
Haylou GT1 XR,-52,1,2.5
Haylou GT1 XR,-50,1,2.5
Haylou GT1 XR,-51,1,2.5
Haylou GT1 XR,-52,1,2.5
Haylou GT1 XR,-69,1,2.5
Haylou GT1 XR,-52,1,2.5
Haylou GT1 XR,-50,1,2.5
Haylou GT1 XR,-50,1,2.5
Haylou GT1 XR,-72,1,2.5
Haylou GT1 XR,-69,1,2.5
Haylou GT1 XR,-49,1,2.5
Haylou GT1 XR,-70,1,2.5
Haylou GT1 XR,-50,1,2.5
Haylou GT1 XR,-51,1,2.5
Haylou GT1 XR,-50,1,2.5
Haylou GT1 XR,-50,1,2.5
Haylou GT1 XR,-50,1,2.5
Haylou GT1 XR,-73,1,2.5
Haylou GT1 XR,-74,1,2.5
Haylou GT1 XR,-81,1,2.5
Haylou GT1 XR,-51,1,2.5
Haylou GT1 XR,-49,1,2.5
Haylou GT1 XR,-74,1,2.5
Haylou GT1 XR,-74,1,2.5
Haylou GT1 XR,-73,1,2.5
Haylou GT1 XR,-50,1,2.5
Haylou GT1 XR,-50,1,2.5
Haylou GT1 XR,-49,1,2.5
Haylou GT1 XR,-50,1,2.5
Haylou GT1 XR,-73,1,2.5
Haylou GT1 XR,-74,1,2.5
Haylou GT1 XR,-50,1,2.5
Haylou GT1 XR,-50,1,2.5
Haylou GT1 XR,-50,1,2.5
Haylou GT1 XR,-50,1,2.5
Haylou GT1 XR,-53,1,2.5
Haylou GT1 XR,-50,1,2.5
Haylou GT1 XR,-49,1,2.5
Haylou GT1 XR,-72,1,2.5
Haylou GT1 XR,-50,1,2.5
Haylou GT1 XR,-74,1,2.5
Haylou GT1 XR,-54,1,3
Haylou GT1 XR,-49,1,3
Haylou GT1 XR,-62,1,3
Haylou GT1 XR,-64,1,3
Haylou GT1 XR,-48,1,3
Haylou GT1 XR,-48,1,3
Haylou GT1 XR,-47,1,3
Haylou GT1 XR,-62,1,3
Haylou GT1 XR,-47,1,3
Haylou GT1 XR,-65,1,3
Haylou GT1 XR,-53,1,3
Haylou GT1 XR,-62,1,3
Haylou GT1 XR,-48,1,3
Haylou GT1 XR,-48,1,3
Haylou GT1 XR,-52,1,3
Haylou GT1 XR,-61,1,3
Haylou GT1 XR,-53,1,3
Haylou GT1 XR,-47,1,3
Haylou GT1 XR,-48,1,3
Haylou GT1 XR,-61,1,3
Haylou GT1 XR,-48,1,3
Haylou GT1 XR,-62,1,3
Haylou GT1 XR,-62,1,3
Haylou GT1 XR,-61,1,3
Haylou GT1 XR,-48,1,3
Haylou GT1 XR,-61,1,3
Haylou GT1 XR,-48,1,3
Haylou GT1 XR,-61,1,3
Haylou GT1 XR,-52,1,3
Haylou GT1 XR,-48,1,3
Haylou GT1 XR,-48,1,3
Haylou GT1 XR,-64,1,3
Haylou GT1 XR,-47,1,3
Haylou GT1 XR,-52,1,3
Haylou GT1 XR,-64,1,3
Haylou GT1 XR,-47,1,3
Haylou GT1 XR,-47,1,3
Haylou GT1 XR,-48,1,3
Haylou GT1 XR,-47,1,3
Haylou GT1 XR,-48,1,3
Haylou GT1 XR,-48,1,3
Haylou GT1 XR,-64,1,3
Haylou GT1 XR,-52,1,3
Haylou GT1 XR,-48,1,3
Haylou GT1 XR,-53,1,3
Haylou GT1 XR,-48,1,3
Haylou GT1 XR,-64,1,3
Haylou GT1 XR,-48,1,3
Haylou GT1 XR,-53,1,3
Haylou GT1 XR,-61,1,3
Haylou GT1 XR,-48,1,3
Haylou GT1 XR,-53,1,3.5
Haylou GT1 XR,-53,1,3.5
Haylou GT1 XR,-57,1,3.5
Haylou GT1 XR,-58,1,3.5
Haylou GT1 XR,-54,1,3.5
Haylou GT1 XR,-53,1,3.5
Haylou GT1 XR,-53,1,3.5
Haylou GT1 XR,-57,1,3.5
Haylou GT1 XR,-57,1,3.5
Haylou GT1 XR,-53,1,3.5
Haylou GT1 XR,-54,1,3.5
Haylou GT1 XR,-53,1,3.5
Haylou GT1 XR,-57,1,3.5
Haylou GT1 XR,-58,1,3.5
Haylou GT1 XR,-57,1,3.5
Haylou GT1 XR,-52,1,3.5
Haylou GT1 XR,-58,1,3.5
Haylou GT1 XR,-53,1,3.5
Haylou GT1 XR,-58,1,3.5
Haylou GT1 XR,-61,1,3.5
Haylou GT1 XR,-60,1,3.5
Haylou GT1 XR,-53,1,3.5
Haylou GT1 XR,-53,1,3.5
Haylou GT1 XR,-59,1,3.5
Haylou GT1 XR,-53,1,3.5
Haylou GT1 XR,-59,1,3.5
Haylou GT1 XR,-58,1,3.5
Haylou GT1 XR,-53,1,3.5
Haylou GT1 XR,-59,1,3.5
Haylou GT1 XR,-51,1,3.5
Haylou GT1 XR,-51,1,3.5
Haylou GT1 XR,-61,1,3.5
Haylou GT1 XR,-61,1,3.5
Haylou GT1 XR,-61,1,3.5
Haylou GT1 XR,-57,1,3.5
Haylou GT1 XR,-62,1,3.5
Haylou GT1 XR,-51,1,3.5
Haylou GT1 XR,-57,1,3.5
Haylou GT1 XR,-50,1,3.5
Haylou GT1 XR,-59,1,3.5
Haylou GT1 XR,-60,1,3.5
Haylou GT1 XR,-56,1,3.5
Haylou GT1 XR,-58,1,3.5
Haylou GT1 XR,-50,1,3.5
Haylou GT1 XR,-57,1,3.5
Haylou GT1 XR,-50,1,3.5
Haylou GT1 XR,-60,1,3.5
Haylou GT1 XR,-61,1,3.5
Haylou GT1 XR,-54,1,3.5
Haylou GT1 XR,-61,1,3.5
Haylou GT1 XR,-59,1,3.5
Haylou GT1 XR,-57,1,4
Haylou GT1 XR,-53,1,4
Haylou GT1 XR,-56,1,4
Haylou GT1 XR,-56,1,4
Haylou GT1 XR,-56,1,4
Haylou GT1 XR,-54,1,4
Haylou GT1 XR,-57,1,4
Haylou GT1 XR,-60,1,4
Haylou GT1 XR,-57,1,4
Haylou GT1 XR,-56,1,4
Haylou GT1 XR,-53,1,4
Haylou GT1 XR,-61,1,4
Haylou GT1 XR,-53,1,4
Haylou GT1 XR,-61,1,4
Haylou GT1 XR,-55,1,4
Haylou GT1 XR,-57,1,4
Haylou GT1 XR,-58,1,4
Haylou GT1 XR,-59,1,4
Haylou GT1 XR,-56,1,4
Haylou GT1 XR,-56,1,4
Haylou GT1 XR,-57,1,4
Haylou GT1 XR,-56,1,4
Haylou GT1 XR,-55,1,4
Haylou GT1 XR,-60,1,4
Haylou GT1 XR,-60,1,4
Haylou GT1 XR,-61,1,4
Haylou GT1 XR,-54,1,4
Haylou GT1 XR,-56,1,4
Haylou GT1 XR,-61,1,4
Haylou GT1 XR,-61,1,4
Haylou GT1 XR,-59,1,4
Haylou GT1 XR,-58,1,4
Haylou GT1 XR,-56,1,4
Haylou GT1 XR,-56,1,4
Haylou GT1 XR,-61,1,4
Haylou GT1 XR,-55,1,4
Haylou GT1 XR,-56,1,4
Haylou GT1 XR,-59,1,4
Haylou GT1 XR,-56,1,4
Haylou GT1 XR,-59,1,4
Haylou GT1 XR,-59,1,4
Haylou GT1 XR,-55,1,4
Haylou GT1 XR,-59,1,4
Haylou GT1 XR,-55,1,4
Haylou GT1 XR,-56,1,4
Haylou GT1 XR,-57,1,4
Haylou GT1 XR,-55,1,4
Haylou GT1 XR,-54,1,4
Haylou GT1 XR,-56,1,4
Haylou GT1 XR,-61,1,4
Haylou GT1 XR,-57,1,4
Haylou GT1 XR,-63,1,4.5
Haylou GT1 XR,-55,1,4.5
Haylou GT1 XR,-61,1,4.5
Haylou GT1 XR,-61,1,4.5
Haylou GT1 XR,-62,1,4.5
Haylou GT1 XR,-51,1,4.5
Haylou GT1 XR,-51,1,4.5
Haylou GT1 XR,-61,1,4.5
Haylou GT1 XR,-54,1,4.5
Haylou GT1 XR,-52,1,4.5
Haylou GT1 XR,-51,1,4.5
Haylou GT1 XR,-51,1,4.5
Haylou GT1 XR,-61,1,4.5
Haylou GT1 XR,-62,1,4.5
Haylou GT1 XR,-59,1,4.5
Haylou GT1 XR,-54,1,4.5
Haylou GT1 XR,-54,1,4.5
Haylou GT1 XR,-54,1,4.5
Haylou GT1 XR,-55,1,4.5
Haylou GT1 XR,-62,1,4.5
Haylou GT1 XR,-51,1,4.5
Haylou GT1 XR,-55,1,4.5
Haylou GT1 XR,-55,1,4.5
Haylou GT1 XR,-53,1,4.5
Haylou GT1 XR,-61,1,4.5
Haylou GT1 XR,-61,1,4.5
Haylou GT1 XR,-61,1,4.5
Haylou GT1 XR,-61,1,4.5
Haylou GT1 XR,-55,1,4.5
Haylou GT1 XR,-61,1,4.5
Haylou GT1 XR,-55,1,4.5
Haylou GT1 XR,-61,1,4.5
Haylou GT1 XR,-53,1,4.5
Haylou GT1 XR,-61,1,4.5
Haylou GT1 XR,-52,1,4.5
Haylou GT1 XR,-54,1,4.5
Haylou GT1 XR,-56,1,4.5
Haylou GT1 XR,-61,1,4.5
Haylou GT1 XR,-53,1,4.5
Haylou GT1 XR,-61,1,4.5
Haylou GT1 XR,-54,1,4.5
Haylou GT1 XR,-54,1,4.5
Haylou GT1 XR,-52,1,4.5
Haylou GT1 XR,-61,1,4.5
Haylou GT1 XR,-53,1,4.5
Haylou GT1 XR,-61,1,4.5
Haylou GT1 XR,-53,1,4.5
Haylou GT1 XR,-53,1,4.5
Haylou GT1 XR,-55,1,4.5
Haylou GT1 XR,-55,1,4.5
Haylou GT1 XR,-54,1,4.5
Haylou GT1 XR,-56,1,5
Haylou GT1 XR,-65,1,5
Haylou GT1 XR,-56,1,5
Haylou GT1 XR,-63,1,5
Haylou GT1 XR,-63,1,5
Haylou GT1 XR,-70,1,5
Haylou GT1 XR,-66,1,5
Haylou GT1 XR,-57,1,5
Haylou GT1 XR,-69,1,5
Haylou GT1 XR,-56,1,5
Haylou GT1 XR,-58,1,5
Haylou GT1 XR,-65,1,5
Haylou GT1 XR,-57,1,5
Haylou GT1 XR,-57,1,5
Haylou GT1 XR,-57,1,5
Haylou GT1 XR,-69,1,5
Haylou GT1 XR,-68,1,5
Haylou GT1 XR,-58,1,5
Haylou GT1 XR,-58,1,5
Haylou GT1 XR,-68,1,5
Haylou GT1 XR,-57,1,5
Haylou GT1 XR,-57,1,5
Haylou GT1 XR,-57,1,5
Haylou GT1 XR,-69,1,5
Haylou GT1 XR,-57,1,5
Haylou GT1 XR,-58,1,5
Haylou GT1 XR,-59,1,5
Haylou GT1 XR,-59,1,5
Haylou GT1 XR,-58,1,5
Haylou GT1 XR,-66,1,5
Haylou GT1 XR,-58,1,5
Haylou GT1 XR,-79,1,5
Haylou GT1 XR,-59,1,5
Haylou GT1 XR,-66,1,5
Haylou GT1 XR,-68,1,5
Haylou GT1 XR,-71,1,5
Haylou GT1 XR,-70,1,5
Haylou GT1 XR,-58,1,5
Haylou GT1 XR,-58,1,5
Haylou GT1 XR,-57,1,5
Haylou GT1 XR,-71,1,5
Haylou GT1 XR,-69,1,5
Haylou GT1 XR,-69,1,5
Haylou GT1 XR,-57,1,5
Haylou GT1 XR,-57,1,5
Haylou GT1 XR,-69,1,5
Haylou GT1 XR,-69,1,5
Haylou GT1 XR,-69,1,5
Haylou GT1 XR,-57,1,5
Haylou GT1 XR,-57,1,5
Haylou GT1 XR,-58,1,5
